,text,label,job_title,skill
0,"federal, provincial and state employment law",KNOWLEDGE,Human Resources Generalist,0
2,expert,KNOWLEDGE,Human Resources Generalist,0
3,canadian employment practices,EXPERIENCE,Human Resources Generalist,0
4,knowledge,EXPERIENCE,Human Resources Generalist,0
5,employment practices,KNOWLEDGE,Human Resources Generalist,0
6,"federal, provincial and state levels proficiency",KNOWLEDGE,Human Resources Generalist,0
7,teams experience,EXPERIENCE,Human Resources Generalist,0
9,our team,EXPERTISE,Human Resources Advisor,0
11,various team players,EXPERIENCE,Human Resources Advisor,0
13,human resource management,KNOWLEDGE,Human Resources Advisor,0
14,clear,UNDERSTANDING,Human Resources Advisor,0
15,team,EXPERIENCE,Human Resources Advisor,0
16,imcs employee manual,REQUIRED,Human Resources Advisor,0
18,problem,ABILITY,Human Resources Advisor,0
19,hr responsibilities thorough,EXPERIENCE,Human Resources Advisor,0
20,knowledge,EXPERIENCE,Human Resources Advisor,0
22,time management,EXPERIENCE,Human Resources Advisor,0
23,multi-tasking skills,EXPERIENCE,Human Resources Advisor,0
25,senior human resource role,EXPERIENCE,Director Human Resources,0
26,organizational development,EXPERIENCE,Director Human Resources,0
27,strategic human resource planning,EXPERIENCE,Director Human Resources,0
28,employment legislation,KNOWLEDGE,Director Human Resources,0
30,big picture,EXPERIENCE,Director Human Resources,0
32,confidentiality,EXPERIENCE,Director Human Resources,0
33,talent management software,EXPERIENCE,Director Human Resources,0
34,team setting,EXPERIENCE,Director Human Resources,0
35,regulatory body,EXPERIENCE,Director Human Resources,0
38,leadership,EXPERIENCE,Human Resources Manager,0
39,part,REQUIRED,Human Resources Manager,0
40,"people, process and changes",EXPERTISE,Senior Solutions and Change Lead,0
41,collaboration,EXPERTISE,Senior Solutions and Change Lead,0
43,human resources,UNDERSTANDING,Senior Solutions and Change Lead,0
44,business strategy,EXPERIENCE,Senior Solutions and Change Lead,0
45,stakeholder needs analysis,EXPERIENCE,Senior Solutions and Change Lead,0
46,hr subject matter,EXPERTISE,Senior Solutions and Change Lead,0
48,related field,EXPERIENCE,Senior Solutions and Change Lead,0
49,in-depth,EXPERT,Senior Solutions and Change Lead,0
50,in-depth,EXPERT,Senior Solutions and Change Lead,0
51,industry,KNOWLEDGE,Senior Solutions and Change Lead,0
54,human resources cphr designation,EXPERIENCE,Human Resources Manager,0
55,food manufacturing industry,EXPERIENCE,Human Resources Manager,0
56,,ABILITY,Human Resources Manager,0
57,accessible candidate,EXPERIENCE,"Associate/Senior Associate, Human Resources",0
58,employee,EXPERIENCE,"Partenaire associé, Ressources humaines / Associate Partner, Human Resources",0
59,exemplary associate,EXPERIENCE,"Partenaire associé, Ressources humaines / Associate Partner, Human Resources",0
